"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 08 15:14:16 IST 2023","Thu Jun 08 15:14:49 IST 2023","32947","","LTIMindteee Web Page Testing","","","","Search and Validate text",""
"passed","Thu Jun 08 15:13:45 IST 2023","Thu Jun 08 15:14:16 IST 2023","31563","","LTIMindteee Web Page Testing","","","","Validate and fill the form",""
